2018_rank,city            ,state               ,2018_population_est,location               ,state_abbrev,latitude          ,longitude
1        ,New York        ,New York            ,8398748            ,40.6635°N 73.9387°W    ,NY          ,40.6635           ,-73.9387
2        ,Los Angeles     ,California          ,3990456            ,34.0194°N 118.4108°W   ,CA          ,34.0194           ,-118.4108
3        ,Chicago         ,Illinois            ,2705994            ,41.8376°N 87.6818°W    ,IL          ,41.8376           ,-87.6818
4        ,Houston         ,Texas               ,2325502            ,29.7866°N 95.3909°W    ,TX          ,29.7866           ,-95.3909
5        ,Phoenix         ,Arizona             ,1660272            ,33.5722°N 112.0901°W   ,AZ          ,33.5722           ,-112.0901
6        ,Philadelphia    ,Pennsylvania        ,1584138            ,40.0094°N 75.1333°W    ,PA          ,40.0094           ,-75.1333
7        ,San Antonio     ,Texas               ,1532233            ,29.4724°N 98.5251°W    ,TX          ,29.4724           ,-98.5251
8        ,San Diego       ,California          ,1425976            ,32.8153°N 117.1350°W   ,CA          ,32.8153           ,-117.135
9        ,Dallas          ,Texas               ,1345047            ,32.7933°N 96.7665°W    ,TX          ,32.7933           ,-96.7665
10       ,San Jose        ,California          ,1030119            ,37.2967°N 121.8189°W   ,CA          ,37.2967           ,-121.8189
11       ,Austin          ,Texas               ,964254             ,30.3039°N 97.7544°W    ,TX          ,30.3039           ,-97.7544
12       ,Jacksonville    ,Florida             ,903889             ,30.3369°N 81.6616°W    ,FL          ,30.3369           ,-81.6616
13       ,Fort Worth      ,Texas               ,895008             ,32.7815°N 97.3467°W    ,TX          ,32.7815           ,-97.3467
14       ,Columbus        ,Ohio                ,892533             ,39.9852°N 82.9848°W    ,OH          ,39.9852           ,-82.9848
15       ,San Francisco   ,California          ,883305             ,37.7272°N 123.0322°W   ,CA          ,37.7272           ,-123.0322
16       ,Charlotte       ,North Carolina      ,872498             ,35.2078°N 80.8310°W    ,NC          ,35.2078           ,-80.831
17       ,Indianapolis    ,Indiana             ,867125             ,39.7767°N 86.1459°W    ,IN          ,39.7767           ,-86.1459
18       ,Seattle         ,Washington          ,744955             ,47.6205°N 122.3509°W   ,WA          ,47.6205           ,-122.3509
19       ,Denver          ,Colorado            ,716492             ,39.7619°N 104.8811°W   ,CO          ,39.7619           ,-104.8811
20       ,Washington      ,District of Columbia,702455             ,38.9041°N 77.0172°W    ,DC          ,38.9041           ,-77.0172
21       ,Boston          ,Massachusetts       ,694583             ,42.3320°N 71.0202°W    ,MA          ,42.332            ,-71.0202
22       ,El Paso         ,Texas               ,682669             ,31.8484°N 106.4270°W   ,TX          ,31.8484           ,-106.427
23       ,Detroit         ,Michigan            ,672662             ,42.3830°N 83.1022°W    ,MI          ,42.383            ,-83.1022
24       ,Nashville       ,Tennessee           ,669053             ,36.1718°N 86.7850°W    ,TN          ,36.1718           ,-86.785
25       ,Portland        ,Oregon              ,653115             ,45.5370°N 122.6500°W   ,OR          ,45.537            ,-122.65
26       ,Memphis         ,Tennessee           ,650618             ,35.1028°N 89.9774°W    ,TN          ,35.1028           ,-89.9774
27       ,Oklahoma City   ,Oklahoma            ,649021             ,35.4671°N 97.5137°W    ,OK          ,35.4671           ,-97.5137
28       ,Las Vegas       ,Nevada              ,644644             ,36.2292°N 115.2601°W   ,NV          ,36.2292           ,-115.2601
29       ,Louisville      ,Kentucky            ,620118             ,38.1654°N 85.6474°W    ,KY          ,38.1654           ,-85.6474
30       ,Baltimore       ,Maryland            ,602495             ,39.3000°N 76.6105°W    ,MD          ,39.3              ,-76.6105
31       ,Milwaukee       ,Wisconsin           ,592025             ,43.0633°N 87.9667°W    ,WI          ,43.0633           ,-87.9667
32       ,Albuquerque     ,New Mexico          ,560218             ,35.1056°N 106.6474°W   ,NM          ,35.1056           ,-106.6474
33       ,Tucson          ,Arizona             ,545975             ,32.1531°N 110.8706°W   ,AZ          ,32.1531           ,-110.8706
34       ,Fresno          ,California          ,530093             ,36.7836°N 119.7934°W   ,CA          ,36.7836           ,-119.7934
35       ,Mesa            ,Arizona             ,508958             ,33.4019°N 111.7174°W   ,AZ          ,33.4019           ,-111.7174
36       ,Sacramento      ,California          ,508529             ,38.5666°N 121.4686°W   ,CA          ,38.5666           ,-121.4686
37       ,Atlanta         ,Georgia             ,498044             ,33.7629°N 84.4227°W    ,GA          ,33.7629           ,-84.4227
38       ,Kansas City     ,Missouri            ,491918             ,39.1251°N 94.5510°W    ,MO          ,39.1251           ,-94.551
39       ,Colorado Springs,Colorado            ,472688             ,38.8673°N 104.7607°W   ,CO          ,38.8673           ,-104.7607
40       ,Miami           ,Florida             ,470914             ,25.7752°N 80.2086°W    ,FL          ,25.7752           ,-80.2086
